x,entries
2.05,1
2.08,1
2.14,1
2.16,1
2.17,1
2.37,2
2.39,2
2.43,2
2.5,1
2.51,2
2.52,2
2.59,1
2.6,1
2.62,1
2.64,1
2.66,2
2.68,1
2.71,2
2.72,1
2.74,2
2.75,2
2.77,2
2.78,2
2.79,1
2.8,1
2.81,5
2.82,2
2.83,1
2.84,1
2.85,2
2.86,3
2.9,2
2.91,1
2.92,2
2.93,2
2.94,1
2.96,2
2.97,1
2.98,4
2.99,2
3.0,1
3.02,2
3.03,3
3.05,3
3.06,3
3.07,1
3.08,1
3.09,1
3.1,3
3.11,5
3.12,1
3.13,5
3.14,3
3.15,3
3.16,1
3.17,2
3.18,4
3.2,2
3.21,2
3.22,2
3.23,4
3.24,5
3.25,3
3.26,4
3.27,3
3.28,5
3.29,2
3.3,3
3.31,3
3.32,4
3.33,6
3.34,4
3.35,1
3.36,4
3.37,6
3.38,2
3.39,3
3.4,2
3.41,2
3.42,5
3.43,6
3.44,3
3.45,6
3.46,2
3.47,6
3.48,8
3.49,5
3.5,2
3.51,5
3.52,4
3.53,4
3.54,5
3.55,8
3.56,3
3.57,6
3.58,8
3.59,7
3.6,6
3.61,4
3.62,3
3.63,3
3.64,4
3.65,11
3.66,5
3.67,5
3.68,6
3.69,9
3.7,10
3.71,3
3.72,6
3.73,4
3.74,7
3.75,7
3.76,6
3.77,5
3.78,8
3.79,6
3.8,6
3.81,5
3.82,3
3.83,6
3.84,4
3.85,8
3.86,8
3.87,7
3.88,4
3.89,6
3.9,5
3.91,10
3.92,8
3.93,4
3.94,8
3.95,3
3.96,7
3.97,2
3.98,5
3.99,7
4.0,10
4.01,6
4.02,9
4.03,5
4.04,10
4.05,2
4.06,4
4.07,5
4.08,4
4.09,6
4.1,8
4.11,4
4.12,3
4.13,4
4.14,9
4.15,5
4.16,8
4.17,6
4.18,4
4.19,6
4.2,6
4.21,9
4.22,5
4.23,2
4.24,7
4.25,2
4.26,7
4.27,6
4.28,9
4.29,5
4.3,6
4.31,4
4.32,7
4.33,8
4.34,5
4.35,8
4.36,4
4.37,5
4.38,6
4.39,6
4.4,9
4.41,5
4.42,10
4.43,5
4.44,2
4.45,3
4.46,3
4.47,5
4.48,5
4.49,6
4.5,3
4.51,5
4.52,3
4.53,5
4.54,5
4.55,4
4.56,5
4.57,5
4.58,5
4.59,5
4.6,2
4.61,2
4.62,2
4.63,4
4.64,3
4.65,3
4.66,4
4.67,8
4.68,3
4.69,2
4.7,3
4.71,1
4.72,4
4.73,2
4.74,5
4.75,4
4.76,2
4.77,4
4.78,3
4.79,2
4.8,2
4.82,1
4.83,2
4.84,1
4.85,5
4.86,1
4.87,1
4.89,1
4.91,3
4.92,2
4.93,2
4.94,1
4.95,3
4.96,4
4.98,5
4.99,1
5.0,2
5.01,1
5.03,1
5.04,4
5.05,2
5.06,4
5.08,1
5.1,3
5.11,3
5.12,3
5.14,3
5.15,1
5.16,3
5.18,1
5.19,2
5.21,1
5.22,1
5.23,2
5.24,2
5.27,1
5.29,1
5.33,3
5.34,1
5.35,1
5.36,1
5.39,1
5.44,1
5.45,1
5.5,1
5.52,1
5.61,1
5.63,2
5.66,1
5.75,1
5.94,2
5.98,1
